Card Name,Screenshot (for referencing),Type,Universe,Rarity,Rarity Level,Card Number,"Pull Probability
turn SZN 1 Collectible Calculation",Story,Design Notes
hollywood & chai,,flavorwave,vaulted,daycard,1,8/15,9.80%,"turn's worst seller. Tasted amazing, but only Colby cared. He called it “underrated.” You can still catch him dreaming of the day it makes its comeback.",it can be colby alone in a hot tub (like our video) or someting a bit more in depth other than only the icon
rockstar,,flavorwave,dreamstate,daycard,1,12/15,9.80%,Came in singing sad songs and made face tatts mainstream. Then came the cowboy boots... no one could ignore it. Innovators get flack. Then they get copied.,
must be nice,,afterglow,dreamstate,daycard,1,1/15,9.80%,"You see it in their eyes, and then—they say it: “must be nice.” They don’t know the work it took to get here. You just smile, raise your glass, and let it glisten.",
lowercase t,,mythos,foundry,daycard,1,9/15,9.80%,Nobody knew who started wearing it. NBD. Then your barista wore one. Then your boss. Now your grandma won’t take hers off. You just hope she doesn’t start a podcast.,the hat
/// trippple,,icon,halovoid,daycard,1,4/15,9.80%,"A glitch in the fabric. Part beast, part vibe. Came through a wormhole, crashed the party, stayed for the buzz. Three eyes. One hoodie. Fur made of static and secrets.",I want to use the rabbit/bear with the tripple smiley on his jacket
scotti,,icon,halovoid,glow,2,3/15,7.00%,"Kick your worries to the curb and F-off to somewhere cool. Call your friends, get into mischief, break some rules. We won't tell, and neither will he.",perhaps the view of the tap
château turnmont,,afterglow,dreamstate,glow,2,6/15,7.00%,"Velvet robes. Half poured drinks. You weren’t supposed to be there—but one night rewired everything. Fame, failure, fire... not a hotel. A portal.",
tokyo pink rosé,,afterglow,vaulted,glow,2,14/15,7.00%,"420 floors up. A $10k flute of pink champagne with a diamond inside. Sweet and sparkling... a memory so rich, it still tastes real. We bottled a feeling & gave away the dream.",
Off--,,icon,foundry,glow,2,10/15,7.00%,"He didn’t just build brands. He bent space. Every cut, curve, and quote left a mark on culture... he just called it future. Designed for tomorrow, and delivered yesterday.","https://www.google.com/search?client=safari&rls=en&q=virgil+abloh&ie=UTF-8&oe=UTF-8

can be a mix of Virgil and off-white tribute"
the brothers,,icon,campus legends,pulse,3,13/15,5.00%,"Two underdogs. One cracked podpak. They flew to New York with nothing but a dream. This is their story: loyalty, hustle, and a chance to earn their turn.",
23,,icon,foundry,pulse,3,5/15,5.00%,"One gym. One crowd. Just the echo of sneakers on waxed wood. Before the banners, before the myth, it was just a number. You can wear it, chase it. But you'll never beat it.","Michael Jordan looking iconic, the number 23 somewhere in there"
podpak,,drip,foundry,pulse,3,11/15,5.00%,2 pods. 1 pak. No posts. No buttons. No BS. A sleek little flex for those who get it. A mystery for those who don’t.,
retrovision,,drip,vaulted,mythic,4,2/15,2.80%,"retrovision's not from here. He shows up when timelines misfire—laced in vibrant color and dripped in memory. Not the past, but not quite the future... just vibes & sweet nostalgia. ",Use the see through game boy that says retrovision on the screen
electric daisy,,charge,botanica,mythic,4,7/15,2.80%,"A buzz button bloom. Shrooms that shimmer. It hits like a kiss on a live wire—warm, weird, and maybe not legal. Nobody asked, they just drank.",
Colby,,icon,campus legends,heavenmade,5,15/15,1.00%,"Not officially on payroll or the guest list. But he’s always there. Knows every flavor. Loves every flop. Never finishes a story, but loves to tell them. You found him... was it worth it?",
topSHELFie,,drip,botanica,daycard,1,,,"Cold glass. Soft grip. No label, no distractions. theBOTTLE isn’t about what’s inside—it’s about how you hold it. A future icon with a vibe no one can copy. Stay tuned.",this is 
est. mmxxi,,mythos,foundry,pulse,3,,,Founded in chaos. Launched on fumes. Born in 2021. What started as a WTF turned into a movement. Some brands plan. We just turned. That’s how legends start.,
